date,type,entry,calories,protein,carbs,netCarbs,fat,fiber,totalSugar,saturatedFat,vitaminA,vitaminC,vitaminD,vitaminB12,folate,choline,iron,calcium,magnesium,potassium,sodium,omega3,water (L)
2026-09-09,food,wildwonder MANGO GOLD. One,35,0,12,7,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-09-09,food,Half donut,115,1,12,11.5,7,0.5,5.5,4,9,0,0,0,10,0,0.6,10,2.5,30,30,0,
2026-09-09,food,Bunch of snacks at party,600,10,70,66,30,4,40,10,150,10,0,0.5,60,60,2,80,60,400,700,0,
2026-09-09,food,3 high noons,300,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-09-10,food,"45-60g peanut butter
100gish Greek yogurt
1 banana
100gish frozen fruit
1 tbsp honey
Oat milk to fill as smoothie",800,25.3,117.3,107.2,32,10.1,60.8,6.8,32,59.6,0.9,1.2,118,65.6,1.8,337,159,1215,320,0,
2026-09-10,food,5 tacos chicken,900,75,75,67.5,30,7.5,5,9,150,15,0,0.8,75,225,6,300,150,1500,2250,300,
2026-09-10,food,One scoop sorbet,170,1,40,39,0,1,35,0,0,40,0,0,5,5,0.2,20,5,20,0,0,
2026-09-10,food,3 plates at wine bar of food,550,18.3,45.8,36.8,27.5,9,9,18,300,30,0,2,120,120,6,450,120,1350,1350,0,
2026-09-10,food,3 eggs and ramen pack,662,34.2,52.5,50.5,34.2,2,3.5,13.4,321,0.3,4.4,2.2,195,593,6.6,130,45,406,1861,148,
2026-09-10,food,Small amount of ice cream,120,2,15,14.7,6,0.3,14,4,75,0,0.2,0.3,5,20,0.2,87,10,130,50,50,
