date,type,entry,calories,protein,carbs,netCarbs,fat,fiber,totalSugar,saturatedFat,vitaminA,vitaminC,vitaminD,vitaminB12,folate,choline,iron,calcium,magnesium,potassium,sodium,omega3,addedSugar (g),totalWater (L),water (L),value,unit
2026-09-17,food,KIRKLAND Signature Greek Yogourt. 130g,74,12.6,4.5,4.5,0,,,,,,,,,,,,,,,,,,,74,kcal
2026-09-17,food,1 cup orange juice,112,1.7,25.8,25.8,0.5,,,,,,,,,,,,,,,,,,,112,kcal
2026-09-18,food,1 cup of whole milk,149,7.7,11.7,11.7,7.9,,,,,,,,,,,,,,,,,,,149,kcal
2026-09-18,food,72g honey nut cheerios,273,4,55,55,4,,,,,,,,,,,,,,,,,,,273,kcal
2026-09-18,food,Banana,105,1.3,27,27,0.4,,,,,,,,,,,,,,,,,,,105,kcal
2026-09-18,food,Pasta Lori pasta di semola di grano duo 125g with coastal cheddar and milk and butter Mac and cheese,650,23.2,79,79,17.4,,,,,,,,,,,,,,,,,,,513,kcal
2026-09-18,food,Fratelli Beretta Proscuito di parma. 4 slices,160,16,0,0,10,,,,,,,,,,,,,,,,,,,160,kcal
2026-09-18,food,Costco everything bagel,370,14.7,75.3,75.3,2.2,,,,,,,,,,,,,,,,,,,290,kcal
2026-09-18,food,Philadelphia Cream Cheese Product. 45g,105,3,4.5,4.5,9,,,,,,,,,,,,,,,,,,,105,kcal
2026-09-18,food,Three small chicken thighs on the grill marinated in olive oil with rice and mayo dressing,875,58.4,44.7,44.7,53.9,,,,,,,,,,,,,,,,,,,875,kcal
2026-09-18,food,1 can PBR,153,1.6,12.6,12.6,0,,,,,,,,,,,,,,,,,,,153,kcal
2026-09-18,food,1 melona,125,1.5,19,19,5,,,,,,,,,,,,,,,,,,,125,kcal
2026-09-18,food,1 mini cucumber,8,0.3,1.9,1.9,0.1,,,,,,,,,,,,,,,,,,,8,kcal
2026-09-18,food,RX bar chocolate,230,10,27,27,9,,,,,,,,,,,,,,,,,,,230,kcal
2026-09-19,food,"75g Honey Nut Cheerios, 1 cup of milk, handful of blueberries",424,14.4,77.1,77.1,8.7,,,,,,,,,,,,,,,,,,,424,
2026-09-19,food,Handful blueberries,24,0.3,6.3,6.3,0.1,,,,,,,,,,,,,,,,,,,24,kcal
2026-09-19,food,Costco everything bagel,390,15.5,79.3,79.3,2.4,,,,,,,,,,,,,,,,,,,290,kcal
2026-09-19,food,Philadelphia Cream Cheese Product. 45g,105,3,4.5,4.5,9,,,,,,,,,,,,,,,,,,,105,kcal
2026-09-19,food,0.5 tbsp butter,51,0.1,0,0,5.8,,,,,,,,,,,,,,,,,,,51,kcal
2026-09-19,food,1 mini cucumber,8,0.3,1.9,1.9,0.1,,,,,,,,,,,,,,,,,,,8,kcal
2026-09-19,food,Fratelli Beretta Proscuito di parma. 3 slices,120,12,0,0,7.5,,,,,,,,,,,,,,,,,,,120,kcal
2026-09-19,food,MTN ASIAN Potstickers. 15 potstickers,600,30,79,79,15,,,,,,,,,,,,,,,,,,,439,kcal
2026-09-19,food,Miss Vickie's Sea Salt & Malt Vinegar Potato Chips. 75g,390,4.5,43.5,43.5,22.5,,,,,,,,,,,,,,,,,,,390,kcal
2026-09-19,food,1 large gatorade,158,0,39.2,39.2,0,,,,,,,,,,,,,,,,,,,158,kcal
2026-09-19,food,Ichiban ramen packet,470,9,65,65,20,,,,,,,,,,,,,,,,,,,470,kcal
2026-09-19,food,1/2 tbsp mayo,55,0,0,0,6,,,,,,,,,,,,,,,,,,,55,kcal
2026-09-19,food,Egg yolk,55,3,1,1,5,,,,,,,,,,,,,,,,,,,55,kcal
2026-09-19,food,7 Jane’s chicken fingers,700,56,61.8,61.8,37.1,,,,,,,,,,,,,,,,,,,595,kcal
2026-09-19,food,1 can PBR,153,1.6,12.6,12.6,0,,,,,,,,,,,,,,,,,,,153,kcal
2026-09-19,food,1 can PBR,153,1.6,12.6,12.6,0,,,,,,,,,,,,,,,,,,,153,kcal
2026-09-19,food,3 glasses of red wine,375,0.3,11.4,11.4,0,,,,,,,,,,,,,,,,,,,375,kcal
2026-09-19,food,2 glasses of rose,250,0.2,8,8,0,,,,,,,,,,,,,,,,,,,250,kcal
2026-09-19,food,4 shots of port,256,0,11,11,0,,,,,,,,,,,,,,,,,,,256,kcal
2026-09-19,food,1 can PBR,153,1.6,12.6,12.6,0,,,,,,,,,,,,,,,,,,,153,kcal
2026-09-20,food,Pad Thai with chicken,600,28,72,72,22,,,,,,,,,,,,,,,,,,,600,kcal
2026-09-20,food,Miss Vickie's Sea Salt & Malt Vinegar Potato Chips. 30g,156,1.8,17.4,17.4,9,,,,,,,,,,,,,,,,,,,156,kcal
2026-09-20,food,Costco everything bagel,390,15.5,79.3,79.3,2.4,,,,,,,,,,,,,,,,,,,290,kcal
2026-09-20,food,Poke bowl,700,30,70,70,25,,,,,,,,,,,,,,,,,,,700,kcal
